ID,Team A,Team B,A,B,Tournament,Phase,Extra
26078,Garry C,Mick C,4,2,Milton Keynes I,,
26079,Ian K,Andy G,2,9,Milton Keynes I,,
26080,Serafin T,Fran S,1,3,Jerez XIII,,
26081,Jaume P,Luis A,1,3,Jerez XIII,,
26082,Rodolfo M,David C,5,0,Jerez XIII,,
26083,Leonardo A,Samu G,3,1,Jerez XIII,,
26084,Jaume P,Serafin T,2,1,Jerez XIII,,
26085,Rodolfo M,Fran S,3,2,Jerez XIII,,
26086,Leonardo A,Luis A,7,3,Jerez XIII,,
26087,Samu G,David C,3,1,Jerez XIII,,
26088,Serafin T,Rodolfo M,3,6,Jerez XIII,,
26089,Leonardo A,Jaume P,6,5,Jerez XIII,,
26090,Samu G,Fran S,5,0,Jerez XIII,,
26091,David C,Luis A,1,3,Jerez XIII,,
26092,Leonardo A,Serafin T,5,0,Jerez XIII,,
26093,Samu G,Rodolfo M,2,1,Jerez XIII,,
26094,David C,Jaume P,2,3,Jerez XIII,,
26095,Luis A,Fran S,5,5,Jerez XIII,,
26096,Serafin T,Samu G,1,1,Jerez XIII,,
26097,David C,Leonardo A,1,4,Jerez XIII,,
26098,Luis A,Rodolfo M,10,3,Jerez XIII,,
26099,Fran S,Jaume P,4,6,Jerez XIII,,
26100,David C,Serafin T,3,1,Jerez XIII,,
26101,Luis A,Samu G,2,5,Jerez XIII,,
26102,Fran S,Leonardo A,4,4,Jerez XIII,,
26103,Jaume P,Rodolfo M,2,9,Jerez XIII,,
26104,Serafin T,Luis A,1,4,Jerez XIII,,
26105,Fran S,David C,1,2,Jerez XIII,,
26106,Jaume P,Samu G,3,5,Jerez XIII,,
26107,Rodolfo M,Leonardo A,5,5,Jerez XIII,,
26108,Fran S,Serafin T,5,2,Jerez XIII,,
26109,Luis A,Jaume P,3,1,Jerez XIII,,
26110,David C,Rodolfo M,3,5,Jerez XIII,,
24496,Brendan P,Steve C,2,7,Manchester III,,
24497,Brendan P,Steve E,1,11,Manchester III,,
24498,Christopher D,Garry C,6,0,Manchester III,,
24499,Christopher D,Ian K,8,3,Manchester III,,
24500,Christopher D,John V,7,0,Manchester III,,
24501,Christopher D,Lee W,6,5,Manchester III,,
24502,Christopher D,Mark V,12,4,Manchester III,,
24503,Christopher D,Mick C,7,1,Manchester III,,
24504,Christopher D,Robert S,7,5,Manchester III,,
24505,Christopher D,Steve C,5,5,Manchester III,,
24506,Christopher D,Steve E,7,3,Manchester III,,
24507,Garry C,Ian K,7,3,Manchester III,,
24508,Garry C,John V,9,2,Manchester III,,
24509,Garry C,Lee W,4,2,Manchester III,,
24510,Garry C,Mark V,3,3,Manchester III,,
24511,Garry C,Mick C,6,4,Manchester III,,
24512,Garry C,Robert S,6,1,Manchester III,,
24513,Garry C,Steve C,3,5,Manchester III,,
24514,Garry C,Steve E,3,6,Manchester III,,
24515,Ian K,John V,10,3,Manchester III,,
24516,Ian K,Lee W,5,4,Manchester III,,
24517,Ian K,Mark V,7,3,Manchester III,,
24518,Ian K,Mick C,2,2,Manchester III,,
24519,Ian K,Robert S,1,4,Manchester III,,
24520,Ian K,Steve C,1,7,Manchester III,,
24521,Ian K,Steve E,2,8,Manchester III,,
24522,John V,Lee W,2,3,Manchester III,,
24523,John V,Mark V,2,0,Manchester III,,
