ID,Team A,Team B,A,B,Tournament,Phase,Extra
22744,Wolf H,Christopher D,2,8,World Cup XIV,Round 1 Group A,
22745,Gianni T,Helmut H,14,0,World Cup XIV,Round 1 Group A,
22746,Michele L,Mario F,0,12,World Cup XIV,Round 1 Group A,
22747,Oliver St,Steve C,4,1,World Cup XIV,Round 1 Group B,
22748,Thor S,Jacob K,4,6,World Cup XIV,Round 1 Group B,
22749,Thomas N,Fabio F,1,11,World Cup XIV,Round 1 Group B,
22750,Gunther W,Dagh N,1,10,World Cup XIV,Round 1 Group B,
22751,Alessandro V,Jorg P,7,2,World Cup XIV,Round 1 Group B,
22752,Alkis P,Torgny A,11,2,World Cup XIV,Round 1 Group B,
22753,Thor S,Ektoras K,6,1,World Cup XIV,Round 1 Group B,
22754,Thomas N,Steve C,1,4,World Cup XIV,Round 1 Group B,
22755,Gunther W,Jacob K,1,8,World Cup XIV,Round 1 Group B,
22756,Alessandro V,Fabio F,2,8,World Cup XIV,Round 1 Group B,
22757,Alkis P,Dagh N,4,5,World Cup XIV,Round 1 Group B,
22758,Torgny A,Jorg P,5,5,World Cup XIV,Round 1 Group B,
22759,Thomas N,Oliver St,0,11,World Cup XIV,Round 1 Group B,
22760,Gunther W,Ektoras K,2,14,World Cup XIV,Round 1 Group B,
22761,Alessandro V,Steve C,3,7,World Cup XIV,Round 1 Group B,
22762,Alkis P,Jacob K,6,1,World Cup XIV,Round 1 Group B,
22763,Torgny A,Fabio F,2,10,World Cup XIV,Round 1 Group B,
22764,Jorg P,Dagh N,1,10,World Cup XIV,Round 1 Group B,
22765,Gunther W,Thor S,0,7,World Cup XIV,Round 1 Group B,
22766,Alessandro V,Oliver St,6,12,World Cup XIV,Round 1 Group B,
22767,Alkis P,Ektoras K,4,5,World Cup XIV,Round 1 Group B,
22768,Torgny A,Steve C,0,6,World Cup XIV,Round 1 Group B,
22769,Jorg P,Jacob K,2,6,World Cup XIV,Round 1 Group B,
22770,Dagh N,Fabio F,10,5,World Cup XIV,Round 1 Group B,
22771,Alessandro V,Thomas N,4,2,World Cup XIV,Round 1 Group B,
22772,Alkis P,Thor S,3,1,World Cup XIV,Round 1 Group B,
22773,Torgny A,Oliver St,0,10,World Cup XIV,Round 1 Group B,
22774,Jorg P,Ektoras K,1,11,World Cup XIV,Round 1 Group B,
22775,Dagh N,Steve C,6,3,World Cup XIV,Round 1 Group B,
22776,Fabio F,Jacob K,5,3,World Cup XIV,Round 1 Group B,
22777,Alkis P,Gunther W,9,1,World Cup XIV,Round 1 Group B,
22778,Torgny A,Thomas N,4,0,World Cup XIV,Round 1 Group B,
22779,Jorg P,Thor S,4,6,World Cup XIV,Round 1 Group B,
22780,Dagh N,Oliver St,13,6,World Cup XIV,Round 1 Group B,
22781,Fabio F,Ektoras K,4,4,World Cup XIV,Round 1 Group B,
22782,Jacob K,Steve C,5,5,World Cup XIV,Round 1 Group B,
22783,Torgny A,Alessandro V,1,5,World Cup XIV,Round 1 Group B,
22784,Jorg P,Gunther W,7,4,World Cup XIV,Round 1 Group B,
22785,Dagh N,Thomas N,10,0,World Cup XIV,Round 1 Group B,
22786,Fabio F,Thor S,4,2,World Cup XIV,Round 1 Group B,
22787,Jacob K,Oliver St,1,7,World Cup XIV,Round 1 Group B,
22788,Steve C,Ektoras K,7,3,World Cup XIV,Round 1 Group B,
22789,Jorg P,Alkis P,3,7,World Cup XIV,Round 1 Group B,
22790,Dagh N,Alessandro V,10,5,World Cup XIV,Round 1 Group B,
22791,Fabio F,Gunther W,17,1,World Cup XIV,Round 1 Group B,
22792,Jacob K,Thomas N,7,3,World Cup XIV,Round 1 Group B,
22793,Steve C,Thor S,2,7,World Cup XIV,Round 1 Group B,
22794,Ektoras K,Oliver St,3,10,World Cup XIV,Round 1 Group B,
22795,Dagh N,Torgny A,10,0,World Cup XIV,Round 1 Group B,
22796,Fabio F,Alkis P,4,5,World Cup XIV,Round 1 Group B,
22797,Jacob K,Alessandro V,1,5,World Cup XIV,Round 1 Group B,
22798,Steve C,Gunther W,6,0,World Cup XIV,Round 1 Group B,
22799,Ektoras K,Thomas N,10,2,World Cup XIV,Round 1 Group B,
22800,Oliver St,Thor S,4,8,World Cup XIV,Round 1 Group B,
22801,Fabio F,Jorg P,16,1,World Cup XIV,Round 1 Group B,
22802,Jacob K,Torgny A,7,6,World Cup XIV,Round 1 Group B,
22803,Steve C,Alkis P,1,10,World Cup XIV,Round 1 Group B,
22804,Ektoras K,Alessandro V,5,5,World Cup XIV,Round 1 Group B,
22805,Oliver St,Gunther W,9,1,World Cup XIV,Round 1 Group B,
22806,Thor S,Thomas N,8,1,World Cup XIV,Round 1 Group B,
22807,Jacob K,Dagh N,2,10,World Cup XIV,Round 1 Group B,
22808,Steve C,Jorg P,8,4,World Cup XIV,Round 1 Group B,
22809,Ektoras K,Torgny A,10,0,World Cup XIV,Round 1 Group B,
22810,Oliver St,Alkis P,1,6,World Cup XIV,Round 1 Group B,
22811,Thor S,Alessandro V,4,3,World Cup XIV,Round 1 Group B,
22812,Thomas N,Gunther W,4,3,World Cup XIV,Round 1 Group B,
22813,Steve C,Fabio F,2,11,World Cup XIV,Round 1 Group B,
22814,Ektoras K,Dagh N,2,7,World Cup XIV,Round 1 Group B,
22815,Oliver St,Jorg P,11,0,World Cup XIV,Round 1 Group B,
22816,Thor S,Torgny A,7,3,World Cup XIV,Round 1 Group B,
22817,Thomas N,Alkis P,0,10,World Cup XIV,Round 1 Group B,
22818,Gunther W,Alessandro V,1,6,World Cup XIV,Round 1 Group B,
22819,Ektoras K,Jacob K,4,5,World Cup XIV,Round 1 Group B,
22820,Oliver St,Fabio F,3,7,World Cup XIV,Round 1 Group B,
22821,Thor S,Dagh N,4,8,World Cup XIV,Round 1 Group B,
22822,Thomas N,Jorg P,2,4,World Cup XIV,Round 1 Group B,
22823,Gunther W,Torgny A,2,3,World Cup XIV,Round 1 Group B,
22824,Alessandro V,Alkis P,6,4,World Cup XIV,Round 1 Group B,
22825,Jacob K,Gianni T,2,7,World Cup XIV,Round 2 Group C,
22826,Gianluca T,Steve C,5,3,World Cup XIV,Round 2 Group C,
22827,John H,Thor S,6,3,World Cup XIV,Round 2 Group C,
22828,Sandro T,Fabio F,2,5,World Cup XIV,Round 2 Group C,
22829,Gianluca T,Jacob K,6,1,World Cup XIV,Round 2 Group C,
22830,John H,Gianni T,5,7,World Cup XIV,Round 2 Group C,
22831,Sandro T,Steve C,6,2,World Cup XIV,Round 2 Group C,
22832,Fabio F,Thor S,5,2,World Cup XIV,Round 2 Group C,
22833,Jacob K,John H,3,6,World Cup XIV,Round 2 Group C,
22834,Sandro T,Gianluca T,2,7,World Cup XIV,Round 2 Group C,
22835,Fabio F,Gianni T,9,9,World Cup XIV,Round 2 Group C,
22836,Thor S,Steve C,5,2,World Cup XIV,Round 2 Group C,
22837,Sandro T,Jacob K,7,4,World Cup XIV,Round 2 Group C,
22838,Fabio F,John H,5,3,World Cup XIV,Round 2 Group C,
22839,Thor S,Gianluca T,3,6,World Cup XIV,Round 2 Group C,
22840,Steve C,Gianni T,2,10,World Cup XIV,Round 2 Group C,
22841,Jacob K,Fabio F,0,5,World Cup XIV,Round 2 Group C,
22842,Thor S,Sandro T,5,3,World Cup XIV,Round 2 Group C,
22843,Steve C,John H,8,5,World Cup XIV,Round 2 Group C,
22844,Gianni T,Gianluca T,4,2,World Cup XIV,Round 2 Group C,
22845,Thor S,Jacob K,4,7,World Cup XIV,Round 2 Group C,
22846,Steve C,Fabio F,3,11,World Cup XIV,Round 2 Group C,
22847,Gianni T,Sandro T,11,1,World Cup XIV,Round 2 Group C,
22848,Gianluca T,John H,4,3,World Cup XIV,Round 2 Group C,
22849,Jacob K,Steve C,7,5,World Cup XIV,Round 2 Group C,
22850,Gianni T,Thor S,13,2,World Cup XIV,Round 2 Group C,
22851,Gianluca T,Fabio F,5,5,World Cup XIV,Round 2 Group C,
22852,John H,Sandro T,5,3,World Cup XIV,Round 2 Group C,
22853,Jorn F,Dagh N,0,9,World Cup XIV,Round 2 Group D,
22854,Alkis P,Andy G,5,4,World Cup XIV,Round 2 Group D,
22855,Oliver St,Mario F,8,6,World Cup XIV,Round 2 Group D,
22856,Alessandro V,Christopher D,5,4,World Cup XIV,Round 2 Group D,
22857,Alkis P,Jorn F,6,3,World Cup XIV,Round 2 Group D,
22858,Oliver St,Dagh N,3,8,World Cup XIV,Round 2 Group D,
22859,Alessandro V,Andy G,3,6,World Cup XIV,Round 2 Group D,
22860,Christopher D,Mario F,5,4,World Cup XIV,Round 2 Group D,
22861,Jorn F,Oliver St,3,5,World Cup XIV,Round 2 Group D,
22862,Alessandro V,Alkis P,4,5,World Cup XIV,Round 2 Group D,
22863,Christopher D,Dagh N,3,8,World Cup XIV,Round 2 Group D,
22864,Mario F,Andy G,5,3,World Cup XIV,Round 2 Group D,
22865,Alessandro V,Jorn F,2,2,World Cup XIV,Round 2 Group D,
22866,Christopher D,Oliver St,5,8,World Cup XIV,Round 2 Group D,
22867,Mario F,Alkis P,4,6,World Cup XIV,Round 2 Group D,
22868,Andy G,Dagh N,4,7,World Cup XIV,Round 2 Group D,
22869,Jorn F,Christopher D,0,7,World Cup XIV,Round 2 Group D,
22870,Mario F,Alessandro V,4,3,World Cup XIV,Round 2 Group D,
22871,Andy G,Oliver St,6,5,World Cup XIV,Round 2 Group D,
22872,Dagh N,Alkis P,11,3,World Cup XIV,Round 2 Group D,
22873,Mario F,Jorn F,11,1,World Cup XIV,Round 2 Group D,
22874,Andy G,Christopher D,4,4,World Cup XIV,Round 2 Group D,
22875,Dagh N,Alessandro V,8,2,World Cup XIV,Round 2 Group D,
22876,Alkis P,Oliver St,4,2,World Cup XIV,Round 2 Group D,
22877,Jorn F,Andy G,5,7,World Cup XIV,Round 2 Group D,
22878,Dagh N,Mario F,11,3,World Cup XIV,Round 2 Group D,
22879,Alkis P,Christopher D,5,6,World Cup XIV,Round 2 Group D,
22880,Oliver St,Alessandro V,2,5,World Cup XIV,Round 2 Group D,
22881,Christopher D,Andy G,8,2,World Cup XIV,Round 2 Group D Tie Breaker,
22882,Gunther W,Mark W,1,4,World Cup XIV,Silver Cup Group E,
22883,Wolf H,Thomas N,3,2,World Cup XIV,Silver Cup Group E,
22884,Peter S,Jorg P,4,6,World Cup XIV,Silver Cup Group E,
22885,Helmut H,Torgny A,4,6,World Cup XIV,Silver Cup Group E,
22886,Michele L,Ektoras K,2,11,World Cup XIV,Silver Cup Group E,
22887,Wolf H,Gunther W,1,3,World Cup XIV,Silver Cup Group E,
22888,Peter S,Mark W,2,4,World Cup XIV,Silver Cup Group E,
22889,Helmut H,Thomas N,7,4,World Cup XIV,Silver Cup Group E,
22890,Michele L,Jorg P,3,6,World Cup XIV,Silver Cup Group E,
22891,Ektoras K,Torgny A,4,0,World Cup XIV,Silver Cup Group E,
22892,Gunther W,Peter S,6,6,World Cup XIV,Silver Cup Group E,
22893,Helmut H,Wolf H,5,2,World Cup XIV,Silver Cup Group E,
22894,Michele L,Mark W,0,1,World Cup XIV,Silver Cup Group E,
22895,Ektoras K,Thomas N,10,0,World Cup XIV,Silver Cup Group E,
22896,Torgny A,Jorg P,5,3,World Cup XIV,Silver Cup Group E,
22897,Helmut H,Gunther W,7,1,World Cup XIV,Silver Cup Group E,
22898,Michele L,Peter S,4,3,World Cup XIV,Silver Cup Group E,
22899,Ektoras K,Wolf H,8,1,World Cup XIV,Silver Cup Group E,
22900,Torgny A,Mark W,1,4,World Cup XIV,Silver Cup Group E,
22901,Jorg P,Thomas N,7,1,World Cup XIV,Silver Cup Group E,
22902,Gunther W,Michele L,3,5,World Cup XIV,Silver Cup Group E,
22903,Ektoras K,Helmut H,11,3,World Cup XIV,Silver Cup Group E,
22904,Torgny A,Peter S,3,2,World Cup XIV,Silver Cup Group E,
22905,Thomas N,Peter S,6,0,World Cup XIV,Silver Cup Group E,
22906,Mark W,Wolf H,2,0,World Cup XIV,Silver Cup Group E,
22907,Gunther W,Torgny A,3,5,World Cup XIV,Silver Cup Group E,
22908,Jorg P,Ektoras K,1,10,World Cup XIV,Silver Cup Group E,
22909,Thomas N,Michele L,1,5,World Cup XIV,Silver Cup Group E,
22910,Mark W,Helmut H,4,2,World Cup XIV,Silver Cup Group E,
22911,Wolf H,Peter S,1,4,World Cup XIV,Silver Cup Group E,
22912,Jorg P,Gunther W,3,3,World Cup XIV,Silver Cup Group E,
22913,Thomas N,Torgny A,2,6,World Cup XIV,Silver Cup Group E,
22914,Mark W,Ektoras K,4,2,World Cup XIV,Silver Cup Group E,
22915,Wolf H,Michele L,5,4,World Cup XIV,Silver Cup Group E,
22916,Peter S,Helmut H,3,4,World Cup XIV,Silver Cup Group E,
22917,Gunther W,Thomas N,3,2,World Cup XIV,Silver Cup Group E,
22918,Mark W,Jorg P,3,1,World Cup XIV,Silver Cup Group E,
22919,Wolf H,Torgny A,1,7,World Cup XIV,Silver Cup Group E,
22920,Peter S,Ektoras K,2,7,World Cup XIV,Silver Cup Group E,
22921,Helmut H,Michele L,1,7,World Cup XIV,Silver Cup Group E,
22922,Jorg P,Wolf H,3,1,World Cup XIV,Silver Cup Group E,
22923,Thomas N,Mark W,1,6,World Cup XIV,Silver Cup Group E,
22924,Ektoras K,Gunther W,12,2,World Cup XIV,Silver Cup Group E,
22925,Torgny A,Michele L,1,6,World Cup XIV,Silver Cup Group E,
22926,Jorg P,Helmut H,6,4,World Cup XIV,Silver Cup Group E,
22927,Mark W,Michele L,4,3,World Cup XIV,Places 17-20,
22928,Ektoras K,Torgny A,7,1,World Cup XIV,Places 17-20,
22929,Michele L,Torgny A,5,6,World Cup XIV,19th Place Final,
22930,Mark W,Ektoras K,2,5,World Cup XIV,17th Place Final,
22931,Sandro T,Jorn F,6,1,World Cup XIV,Places 9-16,
22932,Jorn F,Sandro T,3,5,World Cup XIV,Places 9-16,
22933,Jacob K,Alessandro V,5,2,World Cup XIV,Places 9-16,
22934,Alessandro V,Jacob K,5,3,World Cup XIV,Places 9-16,
22935,Mario F,Thor S,5,5,World Cup XIV,Places 9-16,
22936,Thor S,Mario F,9,4,World Cup XIV,Places 9-16,
22937,Oliver St,Steve C,6,5,World Cup XIV,Places 9-16,
22938,Steve C,Oliver St,4,6,World Cup XIV,Places 9-16,
22939,Jorn F,Mario F,2,10,World Cup XIV,Places 13-16,
22940,Mario F,Jorn F,11,0,World Cup XIV,Places 13-16,
22941,Alessandro V,Steve C,4,7,World Cup XIV,Places 13-16,
22942,Steve C,Alessandro V,7,2,World Cup XIV,Places 13-16,
22943,Jorn F,Alessandro V,0,7,World Cup XIV,15th Place Final,
22944,Alessandro V,Jorn F,3,0,World Cup XIV,15th Place Final,
22945,Mario F,Steve C,6,3,World Cup XIV,13th Place Final,
22946,Steve C,Mario F,4,8,World Cup XIV,13th Place Final,
22947,Sandro T,Thor S,2,2,World Cup XIV,Places 9-12,
22948,Thor S,Sandro T,7,2,World Cup XIV,Places 9-12,
22949,Jacob K,Oliver St,5,9,World Cup XIV,Places 9-12,
22950,Oliver St,Jacob K,7,4,World Cup XIV,Places 9-12,
22951,Sandro T,Jacob K,2,2,World Cup XIV,11th Place Final,
22952,Jacob K,Sandro T,4,2,World Cup XIV,11th Place Final,
22953,Thor S,Oliver St,3,5,World Cup XIV,9th Place Final,
22954,Oliver St,Thor S,3,5,World Cup XIV,9th Place Final,3-6 e.t.
22955,Andy G,Gianluca T,1,3,World Cup XIV,Places 5-8,
22956,Gianluca T,Andy G,4,4,World Cup XIV,Places 5-8,
22957,Christopher D,John H,3,5,World Cup XIV,Places 5-8,
22958,John H,Christopher D,6,5,World Cup XIV,Places 5-8,
22959,Christopher D,Andy G,5,6,World Cup XIV,7th Place Final,
22960,Andy G,Christopher D,6,2,World Cup XIV,7th Place Final,
22961,John H,Gianluca T,3,2,World Cup XIV,5th Place Final,
22962,Gianluca T,John H,4,3,World Cup XIV,5th Place Final,4-4 e.t.
22963,Gianni T,Andy G,7,4,World Cup XIV,Quarter Finals,
22964,Andy G,Gianni T,2,8,World Cup XIV,Quarter Finals,
22965,Fabio F,Christopher D,3,5,World Cup XIV,Quarter Finals,
22966,Christopher D,Fabio F,3,6,World Cup XIV,Quarter Finals,
22967,Alkis P,Gianluca T,2,2,World Cup XIV,Quarter Finals,
22968,Gianluca T,Alkis P,1,5,World Cup XIV,Quarter Finals,
22969,Dagh N,John H,10,2,World Cup XIV,Quarter Finals,
22970,John H,Dagh N,3,9,World Cup XIV,Quarter Finals,
22971,Gianni T,Alkis P,8,1,World Cup XIV,Semi Finals,
22972,Alkis P,Gianni T,1,5,World Cup XIV,Semi Finals,
22973,Dagh N,Fabio F,7,7,World Cup XIV,Semi Finals,
22974,Fabio F,Dagh N,9,9,World Cup XIV,Semi Finals,(10-10) 11-10 p.k.
22975,Alkis P,Dagh N,7,6,World Cup XIV,3rd Place Final,
22976,Gianni T,Fabio F,8,1,World Cup XIV,Final,
22977,Fabio F,Gianni T,4,5,World Cup XIV,Final,
22978,Michele L,Gunther W,6,2,World Cup XIV,Game of Shame,
22979,Joakim F,Jacob K,2,10,Landskrona I,,
22980,Torgny A,Dennis N,3,2,Landskrona I,,
22981,Torgny A,Joakim F,7,2,Landskrona I,,
22982,Dennis N,Jacob K,0,7,Landskrona I,,
22983,Joakim F,Dennis N,1,5,Landskrona I,,
22984,Jacob K,Torgny A,5,3,Landskrona I,,
22985,Jacob K,Joakim F,11,0,Landskrona I,,
22986,Dennis N,Torgny A,1,3,Landskrona I,,
22987,Joakim F,Torgny A,1,6,Landskrona I,,
22988,Jacob K,Dennis N,12,0,Landskrona I,,
22989,Dennis N,Joakim F,8,1,Landskrona I,,
22990,Torgny A,Jacob K,3,6,Landskrona I,,
22991,Luigi F,Gianni T,3,6,Milan XXXIV,,
22992,Alessandro V,Sandro T,4,3,Milan XXXIV,,
22993,Alessandro V,Luigi F,6,3,Milan XXXIV,,
22994,Sandro T,Gianni T,4,7,Milan XXXIV,,
22995,Luigi F,Sandro T,6,3,Milan XXXIV,,
22996,Gianni T,Alessandro V,5,1,Milan XXXIV,,
22997,Gianni T,Luigi F,9,10,Milan XXXIV,,
22998,Sandro T,Alessandro V,8,6,Milan XXXIV,,
22999,Luigi F,Alessandro V,6,4,Milan XXXIV,,
23000,Gianni T,Sandro T,9,4,Milan XXXIV,,
23001,Sandro T,Luigi F,5,9,Milan XXXIV,,
23002,Alessandro V,Gianni T,1,9,Milan XXXIV,,
23003,Christopher D,Koney K,8,0,Papozze II,,
23004,Marco B,Alex Br,4,0,Papozze II,,
23005,Michael Ma,Lorenzo L,3,4,Papozze II,,
23006,Michele L,Denny M,4,2,Papozze II,,
23007,Alessandro V,Lorenzo C,2,3,Papozze II,,
23008,Andy G,Fabio F,5,5,Papozze II,,
23009,Flavio Z,Gianni T,1,12,Papozze II,,
23010,Marco B,Christopher D,0,5,Papozze II,,
23011,Michael Ma,Koney K,9,0,Papozze II,,
23012,Michele L,Alex Br,8,7,Papozze II,,
23013,Alessandro V,Lorenzo L,2,3,Papozze II,,
23014,Andy G,Denny M,7,1,Papozze II,,
23015,Flavio Z,Lorenzo C,0,3,Papozze II,,
23016,Gianni T,Fabio F,6,4,Papozze II,,
23017,Christopher D,Michael Ma,5,3,Papozze II,,
23018,Michele L,Marco B,6,0,Papozze II,,
23019,Alessandro V,Koney K,11,0,Papozze II,,
23020,Andy G,Alex Br,7,0,Papozze II,,
23021,Flavio Z,Lorenzo L,4,2,Papozze II,,
23022,Gianni T,Denny M,13,1,Papozze II,,
23023,Fabio F,Lorenzo C,5,0,Papozze II,,
23024,Michele L,Christopher D,4,9,Papozze II,,
23025,Alessandro V,Michael Ma,6,3,Papozze II,,
23026,Andy G,Marco B,9,0,Papozze II,,
23027,Flavio Z,Koney K,4,2,Papozze II,,
23028,Gianni T,Alex Br,9,3,Papozze II,,
23029,Fabio F,Lorenzo L,8,2,Papozze II,,
23030,Lorenzo C,Denny M,8,1,Papozze II,,
23031,Christopher D,Alessandro V,7,3,Papozze II,,
23032,Andy G,Michele L,9,1,Papozze II,,
23033,Flavio Z,Michael Ma,1,9,Papozze II,,
23034,Gianni T,Marco B,12,0,Papozze II,,
23035,Fabio F,Koney K,16,1,Papozze II,,
23036,Lorenzo C,Alex Br,5,2,Papozze II,,
23037,Denny M,Lorenzo L,1,8,Papozze II,,
23038,Andy G,Christopher D,1,1,Papozze II,,
23039,Flavio Z,Alessandro V,2,7,Papozze II,,
23040,Gianni T,Michele L,12,2,Papozze II,,
23041,Fabio F,Michael Ma,5,0,Papozze II,,
23042,Lorenzo C,Marco B,7,0,Papozze II,,
23043,Denny M,Koney K,1,3,Papozze II,,
23044,Lorenzo L,Alex Br,7,3,Papozze II,,
23045,Christopher D,Flavio Z,8,4,Papozze II,,
23046,Gianni T,Andy G,8,6,Papozze II,,
23047,Fabio F,Alessandro V,6,5,Papozze II,,
23048,Lorenzo C,Michele L,6,0,Papozze II,,
23049,Denny M,Michael Ma,1,5,Papozze II,,
23050,Lorenzo L,Marco B,5,2,Papozze II,,
23051,Alex Br,Koney K,4,1,Papozze II,,
23052,Gianni T,Christopher D,10,3,Papozze II,,
23053,Fabio F,Flavio Z,13,4,Papozze II,,
23054,Lorenzo C,Andy G,3,1,Papozze II,,
23055,Denny M,Alessandro V,2,4,Papozze II,,
23056,Lorenzo L,Michele L,5,2,Papozze II,,
23057,Alex Br,Michael Ma,2,5,Papozze II,,
23058,Koney K,Marco B,2,5,Papozze II,,
23059,Christopher D,Fabio F,3,5,Papozze II,,
23060,Lorenzo C,Gianni T,3,3,Papozze II,,
23061,Denny M,Flavio Z,2,3,Papozze II,,
23062,Lorenzo L,Andy G,3,7,Papozze II,,
23063,Alex Br,Alessandro V,4,4,Papozze II,,
23064,Koney K,Michele L,3,6,Papozze II,,
23065,Marco B,Michael Ma,1,5,Papozze II,,
23066,Lorenzo C,Christopher D,4,2,Papozze II,,
23067,Denny M,Fabio F,1,14,Papozze II,,
23068,Lorenzo L,Gianni T,1,13,Papozze II,,
23069,Alex Br,Flavio Z,3,2,Papozze II,,
23070,Koney K,Andy G,0,11,Papozze II,,
23071,Marco B,Alessandro V,1,5,Papozze II,,
23072,Michael Ma,Michele L,6,3,Papozze II,,
23073,Christopher D,Denny M,9,1,Papozze II,,
23074,Lorenzo L,Lorenzo C,2,3,Papozze II,,
23075,Alex Br,Fabio F,2,12,Papozze II,,
23076,Koney K,Gianni T,0,15,Papozze II,,
23077,Marco B,Flavio Z,0,3,Papozze II,,
23078,Michael Ma,Andy G,1,6,Papozze II,,
23079,Michele L,Alessandro V,3,6,Papozze II,,
23080,Lorenzo L,Christopher D,3,2,Papozze II,,
23081,Alex Br,Denny M,3,3,Papozze II,,
23082,Koney K,Lorenzo C,0,6,Papozze II,,
23083,Marco B,Fabio F,0,14,Papozze II,,
23084,Michael Ma,Gianni T,3,7,Papozze II,,
23085,Michele L,Flavio Z,3,2,Papozze II,,
23086,Alessandro V,Andy G,5,5,Papozze II,,
23087,Christopher D,Alex Br,8,4,Papozze II,,
23088,Koney K,Lorenzo L,0,5,Papozze II,,
23089,Marco B,Denny M,3,2,Papozze II,,
23090,Michael Ma,Lorenzo C,2,4,Papozze II,,
23091,Michele L,Fabio F,1,10,Papozze II,,
23092,Alessandro V,Gianni T,5,11,Papozze II,,
23093,Andy G,Flavio Z,9,3,Papozze II,,
23094,Mark W,Danny D,2,1,Bournemouth V,,
23095,Mark E,Andy G,0,6,Bournemouth V,,
23096,Ian K,Steve C,1,2,Bournemouth V,,
23097,Mark E,Mark W,0,3,Bournemouth V,,
23098,Ian K,Danny D,5,2,Bournemouth V,,
23099,Steve C,Andy G,6,8,Bournemouth V,,
23100,Mark W,Ian K,5,2,Bournemouth V,,
23101,Steve C,Mark E,9,1,Bournemouth V,,
23102,Andy G,Danny D,5,2,Bournemouth V,,
23103,Steve C,Mark W,8,6,Bournemouth V,,
23104,Andy G,Ian K,5,0,Bournemouth V,,
23105,Danny D,Mark E,0,6,Bournemouth V,,
23106,Mark W,Andy G,2,9,Bournemouth V,,
23107,Danny D,Steve C,0,1,Bournemouth V,,
23108,Mark E,Ian K,2,2,Bournemouth V,,
23109,Danny D,Mark W,1,3,Bournemouth V,,
23110,Andy G,Mark E,7,3,Bournemouth V,,
23111,Steve C,Ian K,5,3,Bournemouth V,,
23112,Mark W,Mark E,4,3,Bournemouth V,,
23113,Danny D,Ian K,2,5,Bournemouth V,,
23114,Andy G,Steve C,7,6,Bournemouth V,,
23115,Ian K,Mark W,0,3,Bournemouth V,,
23116,Mark E,Steve C,1,1,Bournemouth V,,
23117,Danny D,Andy G,0,9,Bournemouth V,,
23118,Mark W,Steve C,6,4,Bournemouth V,,
23119,Ian K,Andy G,0,8,Bournemouth V,,
23120,Mark E,Danny D,4,0,Bournemouth V,,
23121,Andy G,Mark W,11,4,Bournemouth V,,
23122,Steve C,Danny D,7,1,Bournemouth V,,
23123,Ian K,Mark E,4,5,Bournemouth V,,
23124,Mark W,Danny D,1,0,Bournemouth V,,
23125,Ian K,Steve C,3,8,Bournemouth V,,
23126,Mark E,Mark W,2,6,Bournemouth V,,
23127,Ian K,Danny D,7,0,Bournemouth V,,
23128,Steve C,Andy G,3,5,Bournemouth V,,
23129,Mark W,Ian K,3,4,Bournemouth V,,
23130,Steve C,Mark E,6,4,Bournemouth V,,
23131,Andy G,Danny D,7,1,Bournemouth V,,
23132,Steve C,Mark W,8,0,Bournemouth V,,
23133,Andy G,Ian K,5,3,Bournemouth V,,
23134,Danny D,Mark E,1,3,Bournemouth V,,
23135,Mark W,Andy G,2,6,Bournemouth V,,
23136,Danny D,Steve C,2,8,Bournemouth V,,
23137,Mark E,Ian K,1,7,Bournemouth V,,
23138,Andy G,Mark E,9,0,Bournemouth V,,
23139,Danny D,Oliver St,1,6,Koenigswinter XLIX,,
23140,Cornelius H,Frank F,2,4,Koenigswinter XLIX,,
23141,Cornelius H,Danny D,6,3,Koenigswinter XLIX,,
23142,Frank F,Oliver St,1,3,Koenigswinter XLIX,,
23143,Danny D,Frank F,1,6,Koenigswinter XLIX,,
23144,Oliver St,Cornelius H,11,1,Koenigswinter XLIX,,
23145,Oliver St,Danny D,10,0,Koenigswinter XLIX,,
23146,Frank F,Cornelius H,7,0,Koenigswinter XLIX,,
23147,Danny D,Cornelius H,5,3,Koenigswinter XLIX,,
23148,Oliver St,Frank F,5,1,Koenigswinter XLIX,,
23149,Frank F,Danny D,11,1,Koenigswinter XLIX,,
23150,Cornelius H,Oliver St,1,14,Koenigswinter XLIX,,
23151,Danny D,Oliver St,1,11,Koenigswinter XLIX,,
23152,Cornelius H,Frank F,2,3,Koenigswinter XLIX,,
23153,Cornelius H,Danny D,5,1,Koenigswinter XLIX,,
23154,Frank F,Oliver St,1,6,Koenigswinter XLIX,,
23155,Danny D,Frank F,0,4,Koenigswinter XLIX,,
23156,Oliver St,Cornelius H,12,0,Koenigswinter XLIX,,
23157,Dennis N,Jorn F,2,6,Humlebaek I,,
23158,Jacob K,Torgny A,6,3,Humlebaek I,,
23159,Jacob K,Dennis N,7,1,Humlebaek I,,
23160,Torgny A,Jorn F,0,2,Humlebaek I,,
23161,Dennis N,Torgny A,1,4,Humlebaek I,,
23162,Jorn F,Jacob K,1,5,Humlebaek I,,
23163,Jorn F,Dennis N,2,2,Humlebaek I,,
23164,Torgny A,Jacob K,2,6,Humlebaek I,,
23165,Dennis N,Jacob K,3,3,Humlebaek I,,
23166,Jorn F,Torgny A,7,3,Humlebaek I,,
23167,Torgny A,Dennis N,2,4,Humlebaek I,,
23168,Jacob K,Jorn F,4,1,Humlebaek I,,
23169,Jorn F,Jacob K,4,5,Humlebaek II,,
